Name,Chamber,Party,Avg. Net Worth
Adam Schiff (D-Calif),H,D,1119013
Matt Cartwright (D-Pa),H,D,1105518
Rick Nolan (D-Minn),H,D,1105504
Jeff Miller (R-Fla),H,R,1091003
Sean Patrick Maloney (D-NY),H,D,1048005
Marcia L. Fudge (D-Ohio),H,D,1031506
Marlin Stutzman (R-Ind),H,R,1031008
Patrick J. Tiberi (R-Ohio),H,R,1014515
Steve Stivers (R-Ohio),H,R,1003019
Mark R. Meadows (R-NC),H,R,1000510
Paul Gosar (R-Ariz),H,R,982501
David Cicilline (D-RI),H,D,966001
Maxine Waters (D-Calif),H,D,964007
Mike Honda (D-Calif),H,D,964005
Mo Brooks (R-Ala),H,R,962523
Kay Granger (R-Texas),H,R,958005
Frederica Wilson (D-Fla),H,D,954005
Martha Roby (R-Ala),H,R,948511
Sheila Jackson Lee (D-Texas),H,D,943504
Melvin L. Watt (D-NC),H,D,929020
Elijah E. Cummings (D-Md),H,D,915004
Joe Pitts (R-Pa),H,R,896004
Scott Perry (R-Pa),H,R,891009
Bill Huizenga (R-Mich),H,R,878508
Don Young (R-Alaska),H,R,872504
Paul Cook (R-Calif),H,R,870508
Henry Cuellar (D-Texas),H,D,855006
Peter Roskam (R-Ill),H,R,854525
Randy Weber (R-Texas),H,R,833002
Rob Wittman (R-Va),H,R,824513
Robert E. Andrews (D-NJ),H,D,814004
Bruce Braley (D-Iowa),H,D,811035
Jason Chaffetz (R-Utah),H,R,788506
Mark Pocan (D-Wis),H,D,766002
Eddie Bernice Johnson (D-Texas),H,D,766001
Ted Deutch (D-Fla),H,D,764511
David Scott (D-Ga),H,D,758001
Todd Rokita (R-Ind),H,R,741522
John M. Shimkus (R-Ill),H,R,733504
Tom Graves (R-Ga),H,R,729007
Tim Murphy (R-Pa),H,R,712524
Bill Posey (R-Fla),H,R,698006
Charles W. Boustany Jr (R-La),H,R,695268
Edwin G. Perlmutter (D-Colo),H,D,685513
Emanuel Cleaver (D-Mo),H,D,684005
Steve Chabot (R-Ohio),H,R,676514
Stephen F. Lynch (D-Mass),H,D,673008
Pete Gallego (D-Texas),H,D,666007
Kerry Bentivolio (R-Mich),H,R,654016
George Miller (D-Calif),H,D,651504
Bennie G. Thompson (D-Miss),H,D,647014
Spencer Bachus (R-Ala),H,R,631507
Alan Nunnelee (R-Miss),H,R,620005
David Loebsack (D-Iowa),H,D,610009
Steve Southerland (R-Fla),H,R,584001
Cheri Bustos (D-Ill),H,D,578512
Tammy Duckworth (D-Ill),H,D,570526
Scott Desjarlais (R-Tenn),H,R,565505
Erik Paulsen (R-Minn),H,R,564515
Marsha Blackburn (R-Tenn),H,R,551512
John Carney (D-Del),H,D,550514
Aaron Schock (R-Ill),H,R,535087
Frank A. LoBiondo (R-NJ),H,R,525012
Gene Green (D-Texas),H,D,522503
Patrick McHenry (R-NC),H,R,510006
Mike Michaud (D-Maine),H,D,507510
Tom Reed (R-NY),H,R,497504
Frank Wolf (R-Va),H,R,491454
Janice Hahn (D-Calif),H,D,480502
Mike Doyle (D-Pa),H,D,475000
Daniel Webster (R-Fla),H,R,473004
Joe Courtney (D-Conn),H,D,468515
