Name,Chamber,Party,Avg. Net Worth
Eddie Bernice Johnson (D-Texas),H,D,"$766,001"
Ted Deutch (D-Fla),H,D,"$764,511"
Lisa Murkowski (R-Alaska),S,R,"$762,520"
David Scott (D-Ga),H,D,"$758,001"
Joe Donnelly (D-Ind),S,D,"$749,004"
Todd Rokita (R-Ind),H,R,"$741,522"
John M. Shimkus (R-Ill),H,R,"$733,504"
Tom Graves (R-Ga),H,R,"$729,007"
Tim Murphy (R-Pa),H,R,"$712,524"
Charles E. Schumer (D-NY),S,D,"$702,008"
John Cornyn (R-Texas),S,R,"$698,511"
Bill Posey (R-Fla),H,R,"$698,006"
Lindsey Graham (R-SC),S,R,"$697,003"
Charles W. Boustany Jr (R-La),H,R,"$695,268"
Edwin G. Perlmutter (D-Colo),H,D,"$685,513"
Emanuel Cleaver (D-Mo),H,D,"$684,005"
Steve Chabot (R-Ohio),H,R,"$676,514"
Stephen F. Lynch (D-Mass),H,D,"$673,008"
Pete Gallego (D-Texas),H,D,"$666,007"
Roger Wicker (R-Miss),S,R,"$660,508"
Kerry Bentivolio (R-Mich),H,R,"$654,016"
George Miller (D-Calif),H,D,"$651,504"
Bennie G. Thompson (D-Miss),H,D,"$647,014"
Sherrod Brown (D-Ohio),S,D,"$639,003"
Spencer Bachus (R-Ala),H,R,"$631,507"
Alan Nunnelee (R-Miss),H,R,"$620,005"
David Loebsack (D-Iowa),H,D,"$610,009"
Jack Reed (D-RI),S,D,"$608,523"
Steve Southerland (R-Fla),H,R,"$584,001"
Cheri Bustos (D-Ill),H,D,"$578,512"
Tammy Duckworth (D-Ill),H,D,"$570,526"
Scott Desjarlais (R-Tenn),H,R,"$565,505"
Erik Paulsen (R-Minn),H,R,"$564,515"
Marco Rubio (R-Fla),S,R,"$559,509"
Marsha Blackburn (R-Tenn),H,R,"$551,512"
John Carney (D-Del),H,D,"$550,514"
Bob Casey (D-Pa),S,D,"$544,508"
Aaron Schock (R-Ill),H,R,"$535,087"
Frank A. LoBiondo (R-NJ),H,R,"$525,012"
Gene Green (D-Texas),H,D,"$522,503"
Max Baucus (D-Mont),S,D,"$519,500"
Patrick McHenry (R-NC),H,R,"$510,006"
Mike Michaud (D-Maine),H,D,"$507,510"
Tom Reed (R-NY),H,R,"$497,504"
Frank Wolf (R-Va),H,R,"$491,454"
Robert Menendez (D-NJ),S,D,"$490,502"
Janice Hahn (D-Calif),H,D,"$480,502"
Cory Booker (D-NJ),S,D,"$476,009"
Mike Doyle (D-Pa),H,D,"$475,000"
Daniel Webster (R-Fla),H,R,"$473,004"
Joe Courtney (D-Conn),H,D,"$468,515"
James E. Clyburn (D-SC),H,D,"$468,511"
Luke Messer (R-Ind),H,R,"$468,017"
Ileana Ros-Lehtinen (R-Fla),H,R,"$466,502"
Jim McDermott (D-Wash),H,D,"$461,026"
Bernie Sanders (I-Vt),S,I,"$460,506"
Bill Johnson (R-Ohio),H,R,"$459,522"
Charlie Dent (R-Pa),H,R,"$458,525"
Jared Huffman (D-Calif),H,D,"$457,010"
Barbara A. Mikulski (D-Md),S,D,"$454,508"
Kevin Brady (R-Texas),H,R,"$453,513"
Mac Thornberry (R-Texas),H,R,"$447,503"
Ted Poe (R-Texas),H,R,"$446,006"
Gus Bilirakis (R-Fla),H,R,"$445,518"
Michael G. Fitzpatrick (R-Pa),H,R,"$436,518"
Michelle Lujan Grisham (D-NM),H,D,"$435,001"
Lynn Jenkins (R-Kan),H,R,"$430,507"
Joe Wilson (R-SC),H,R,"$428,000"
Kevin Cramer (R-ND),H,R,"$419,511"
